Blocks:
bk198, 41, 57, 0.03
bk815, 39, 53, 0.02
bk944, 27, 21, 0.03
bk114, 37, 40, 0.01
bk883, 34, 35, 0.01
bk994, 40, 57, 0.06
bk997, 28, 35, 0.02
bk953, 31, 40, 0.05
bk295, 25, 24, 0.05
bk750, 25, 39, 0.02
bk678, 37, 42, 0.02
bk647, 30, 41, 0.04
bk208, 35, 40, 0.01
bk552, 38, 56, 0.07
bk830, 31, 38, 0.07
bk106, 38, 58, 0.02
bk696, 25, 27, 0.05
bk205, 39, 47, 0.05
bk73, 36, 30, 0.02
bk333, 41, 52, 0.04
bk899, 27, 33, 0.01
bk781, 30, 41, 0.03
bk882, 36, 43, 0.03
bk54, 32, 41, 0.06
bk837, 25, 29, 0.03
bk898, 24, 35, 0.04
bk854, 42, 42, 0.03
bk713, 30, 23, 0.03
bk738, 38, 52, 0.04
bk272, 41, 39, 0.05
bk722, 27, 38, 0.05
bk575, 41, 45, 0.05
bk315, 23, 24, 0.04
bk727, 27, 20, 0.07
bk245, 26, 33, 0.05
bk384, 35, 38, 0.06
bk225, 28, 41, 0.02
bk237, 33, 44, 0.06
bk229, 28, 27, 0.04
bk913, 23, 20, 0.05
bk659, 38, 27, 0.04
bk723, 24, 25, 0.07
bk231, 36, 53, 0.03
bk993, 37, 40, 0.05
bk919, 31, 39, 0.04
bk852, 35, 27, 0.04
bk882, 30, 34, 0.01
bk959, 41, 44, 0.03
bk865, 42, 33, 0.06
bk344, 34, 31, 0.02
bk971, 26, 21, 0.05
bk787, 33, 27, 0.03
bk666, 29, 36, 0.06
bk869, 38, 49, 0.02
bk972, 39, 34, 0.03
bk250, 27, 25, 0.01
bk672, 23, 33, 0.07
bk52, 26, 20, 0.05
bk340, 29, 36, 0.04
bk177, 25, 26, 0.07
bk881, 36, 36, 0.03
bk849, 29, 22, 0.01
bk338, 27, 19, 0.01
bk100, 29, 42, 0.03
bk601, 25, 36, 0.04
bk689, 29, 45, 0.02
bk566, 42, 33, 0.06
bk282, 25, 17, 0.04
bk965, 33, 24, 0.02
bk68, 39, 56, 0.04
bk334, 35, 38, 0.07
bk30, 31, 32, 0.05
bk334, 41, 42, 0.07
bk514, 24, 31, 0.01
bk270, 43, 31, 0.02
bk289, 43, 62, 0.05
bk538, 41, 35, 0.02
bk504, 35, 40, 0.04
bk94, 31, 44, 0.06
bk703, 41, 54, 0.07
bk902, 42, 34, 0.02
bk738, 40, 40, 0.03
bk103, 41, 39, 0.02
bk199, 41, 40, 0.01
bk948, 30, 22, 0.03
bk81, 33, 49, 0.03
bk276, 39, 53, 0.05
bk235, 35, 35, 0.02
bk285, 32, 49, 0.06
bk381, 40, 33, 0.06
bk490, 29, 28, 0.07
bk909, 34, 43, 0.03
bk784, 41, 45, 0.04
bk815, 39, 35, 0.05
bk2, 30, 22, 0.06
bk795, 39, 54, 0.06
bk481, 25, 18, 0.04
bk659, 28, 38, 0.02
bk660, 41, 48, 0.06
bk44, 32, 48, 0.04
bk538, 32, 35, 0.03
bk290, 36, 51, 0.04
bk183, 31, 42, 0.04
bk308, 43, 39, 0.02
bk498, 41, 41, 0.01
bk354, 30, 23, 0.06
bk503, 29, 24, 0.04
bk399, 42, 44, 0.04
bk744, 40, 37, 0.03
bk911, 38, 37, 0.03
bk381, 43, 30, 0.04
bk953, 43, 30, 0.06
bk551, 28, 38, 0.03
bk372, 38, 45, 0.02
bk369, 34, 24, 0.05
bk235, 34, 39, 0.06
bk366, 42, 34, 0.03
bk497, 38, 44, 0.03
bk838, 25, 36, 0.07
bk202, 33, 29, 0.03
bk830, 25, 20, 0.04
bk515, 42, 36, 0.03
bk445, 41, 45, 0.04
bk69, 27, 21, 0.03
bk339, 40, 32, 0.05
bk468, 24, 27, 0.06
bk20, 30, 26, 0.01
bk225, 30, 42, 0.03
bk458, 41, 38, 0.02
bk624, 28, 32, 0.06
bk378, 35, 46, 0.02
bk312, 25, 26, 0.02
bk892, 43, 38, 0.03
bk482, 29, 23, 0.01
bk110, 34, 48, 0.04
bk931, 42, 54, 0.04
bk542, 38, 38, 0.02
bk53, 28, 19, 0.03
bk469, 36, 54, 0.06
bk36, 31, 44, 0.01
