Blocks:
bk918, 39, 30, 0.02
bk698, 30, 41, 0.07
bk54, 42, 64, 0.05
bk284, 32, 32, 0.06
bk689, 40, 31, 0.06
bk963, 29, 38, 0.01
bk499, 32, 30, 0.04
bk844, 42, 34, 0.03
bk667, 40, 50, 0.05
bk43, 23, 19, 0.05
bk633, 29, 27, 0.04
bk59, 36, 54, 0.02
bk227, 39, 58, 0.02
bk70, 40, 45, 0.06
bk176, 38, 54, 0.02
bk606, 42, 32, 0.06
bk919, 32, 43, 0.01
bk928, 42, 35, 0.02
bk803, 25, 38, 0.02
bk331, 28, 43, 0.06
bk98, 29, 40, 0.06
bk986, 26, 22, 0.04
bk13, 40, 34, 0.04
bk910, 24, 27, 0.03
bk304, 36, 44, 0.04
bk485, 23, 26, 0.04
bk897, 37, 33, 0.05
bk232, 30, 32, 0.03
bk804, 23, 33, 0.05
bk229, 30, 38, 0.01
bk403, 27, 31, 0.06
bk974, 27, 30, 0.04
bk904, 23, 34, 0.06
bk69, 38, 57, 0.05
bk418, 34, 25, 0.02
bk723, 40, 59, 0.05
bk129, 37, 46, 0.06
bk891, 32, 42, 0.02
bk296, 31, 35, 0.05
bk383, 32, 45, 0.05
bk500, 42, 38, 0.05
bk381, 28, 19, 0.06
bk320, 32, 33, 0.05
bk735, 29, 32, 0.02
bk551, 29, 23, 0.02
bk514, 31, 30, 0.02
bk54, 26, 25, 0.05
bk867, 31, 42, 0.04
bk262, 34, 45, 0.07
bk972, 37, 44, 0.05
bk214, 29, 43, 0.02
bk846, 35, 31, 0.07
bk154, 37, 41, 0.03
bk433, 27, 24, 0.06
bk997, 25, 20, 0.05
bk492, 24, 24, 0.05
bk831, 32, 48, 0.02
bk368, 43, 30, 0.06
bk400, 34, 26, 0.01
bk153, 37, 46, 0.06
bk155, 39, 60, 0.06
bk448, 30, 40, 0.03
bk806, 42, 37, 0.02
bk517, 38, 49, 0.04
bk274, 33, 48, 0.07
bk257, 24, 34, 0.04
bk771, 28, 42, 0.03
bk674, 37, 40, 0.05
bk521, 34, 40, 0.07
bk274, 39, 37, 0.07
bk154, 43, 51, 0.07
bk76, 36, 52, 0.03
bk506, 35, 24, 0.05
bk654, 28, 39, 0.02
bk279, 41, 31, 0.06
bk988, 23, 24, 0.03
bk31, 30, 29, 0.06
bk528, 36, 42, 0.06
bk57, 28, 31, 0.05
bk215, 41, 35, 0.04
bk649, 35, 45, 0.04
bk212, 36, 45, 0.03
bk830, 29, 41, 0.02
bk120, 32, 37, 0.01
bk651, 31, 42, 0.03
bk552, 28, 41, 0.04
bk919, 31, 37, 0.04
bk533, 27, 37, 0.03
bk490, 26, 37, 0.07
bk599, 42, 56, 0.07
bk131, 27, 20, 0.03
bk729, 36, 36, 0.04
bk839, 25, 30, 0.04
bk396, 43, 35, 0.06
bk679, 34, 50, 0.07
bk371, 24, 17, 0.06
bk771, 31, 34, 0.02
bk322, 40, 51, 0.06
bk946, 27, 40, 0.05
bk277, 36, 27, 0.04
bk10, 42, 59, 0.02
bk975, 41, 34, 0.07
bk489, 43, 41, 0.03
bk571, 30, 27, 0.04
bk122, 30, 32, 0.04
bk3, 26, 22, 0.02
bk164, 31, 42, 0.04
bk187, 24, 31, 0.05
bk245, 40, 54, 0.05
bk53, 30, 30, 0.03
bk185, 27, 33, 0.03
bk135, 42, 65, 0.01
bk836, 38, 30, 0.05
bk84, 26, 36, 0.04
