Blocks:
bk570, 31, 45, 0.04
bk641, 39, 33, 0.03
bk902, 27, 34, 0.03
bk572, 37, 54, 0.04
bk537, 43, 57, 0.03
bk891, 30, 21, 0.06
bk832, 39, 50, 0.02
bk941, 24, 32, 0.01
bk699, 27, 32, 0.04
bk651, 35, 38, 0.03
bk404, 39, 31, 0.07
bk959, 39, 46, 0.06
bk471, 37, 57, 0.04
bk69, 24, 30, 0.04
bk642, 29, 43, 0.02
bk294, 30, 25, 0.03
bk149, 35, 35, 0.07
bk671, 36, 43, 0.04
bk136, 26, 26, 0.03
bk148, 42, 42, 0.03
bk878, 35, 50, 0.04
bk249, 37, 33, 0.03
bk518, 43, 33, 0.02
bk161, 29, 32, 0.03
bk454, 38, 32, 0.07
bk578, 29, 27, 0.04
bk41, 43, 35, 0.06
bk167, 42, 64, 0.04
bk21, 39, 36, 0.04
bk255, 36, 41, 0.04
bk444, 25, 28, 0.02
bk333, 36, 32, 0.03
bk946, 43, 60, 0.04
bk430, 38, 51, 0.03
bk48, 33, 48, 0.05
bk560, 39, 28, 0.01
bk787, 23, 22, 0.03
bk177, 37, 43, 0.06
bk448, 40, 44, 0.03
bk174, 27, 39, 0.01
bk55, 39, 33, 0.07
bk618, 32, 45, 0.06
bk473, 38, 37, 0.01
bk976, 28, 23, 0.07
bk170, 30, 29, 0.05
bk662, 43, 47, 0.03
bk163, 41, 42, 0.04
bk872, 29, 24, 0.05
bk219, 42, 34, 0.03
bk987, 30, 21, 0.03
bk657, 34, 28, 0.03
bk253, 38, 50, 0.01
bk541, 32, 47, 0.04
bk639, 27, 28, 0.04
bk93, 31, 23, 0.01
bk83, 31, 39, 0.07
bk826, 31, 43, 0.03
bk636, 23, 33, 0.01
bk596, 31, 23, 0.04
bk313, 43, 59, 0.03
bk147, 33, 37, 0.01
bk32, 31, 40, 0.05
bk964, 34, 34, 0.06
bk620, 38, 58, 0.07
bk326, 43, 32, 0.07
bk843, 41, 32, 0.06
bk187, 41, 60, 0.06
bk615, 26, 21, 0.02
bk56, 31, 35, 0.03
bk908, 29, 40, 0.05
bk162, 38, 54, 0.06
bk898, 34, 48, 0.06
bk738, 31, 37, 0.04
bk953, 33, 45, 0.03
bk191, 28, 36, 0.07
bk702, 31, 33, 0.04
bk542, 38, 27, 0.03
bk676, 41, 50, 0.03
bk319, 27, 25, 0.06
bk827, 30, 36, 0.02
bk903, 32, 37, 0.03
bk747, 28, 22, 0.03
bk910, 31, 29, 0.03
bk30, 37, 32, 0.01
bk142, 34, 49, 0.03
bk695, 40, 53, 0.02
bk924, 38, 39, 0.02
bk308, 23, 16, 0.06
bk621, 34, 44, 0.04
bk261, 29, 45, 0.05
bk253, 26, 39, 0.04
bk668, 32, 30, 0.06
bk809, 43, 42, 0.02
bk584, 37, 37, 0.04
bk758, 30, 27, 0.05
bk252, 35, 43, 0.05
bk842, 32, 32, 0.05
bk776, 26, 28, 0.06
bk988, 23, 18, 0.06
bk333, 42, 46, 0.03
bk772, 42, 34, 0.06
bk433, 27, 40, 0.05
bk773, 38, 55, 0.03
bk787, 26, 21, 0.01
bk856, 42, 49, 0.03
bk842, 34, 23, 0.05
bk917, 40, 49, 0.02
bk768, 29, 24, 0.05
bk947, 34, 30, 0.05
bk593, 37, 46, 0.06
bk765, 43, 53, 0.02
bk845, 28, 42, 0.06
bk120, 27, 32, 0.02
bk535, 42, 42, 0.05
bk904, 36, 34, 0.03
bk127, 39, 50, 0.06
bk703, 27, 19, 0.05
bk993, 31, 35, 0.06
bk763, 40, 61, 0.04
bk244, 29, 28, 0.03
bk644, 38, 30, 0.03
bk172, 27, 25, 0.04
bk563, 29, 33, 0.06
bk315, 41, 33, 0.05
bk171, 36, 45, 0.06
bk308, 23, 20, 0.07
bk332, 41, 42, 0.02
bk486, 31, 23, 0.03
bk528, 30, 23, 0.03
bk110, 41, 33, 0.04
bk693, 29, 30, 0.07
bk474, 30, 33, 0.02
bk643, 29, 25, 0.06
bk653, 36, 46, 0.03
bk428, 32, 28, 0.06
bk730, 36, 46, 0.06
bk813, 40, 44, 0.03
bk672, 37, 46, 0.06
bk206, 34, 51, 0.02
bk416, 43, 41, 0.02
bk503, 33, 24, 0.01
bk719, 27, 20, 0.02
bk568, 42, 61, 0.02
bk518, 27, 40, 0.03
bk756, 26, 39, 0.04
bk664, 28, 36, 0.03
bk191, 30, 41, 0.03
bk879, 34, 35, 0.07
bk330, 38, 46, 0.04
